Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
1075,CNN_model,36 hours,0.91,1.14,1.52,1.76,0.95,0.79,2.32
1075,CNN_model,72 hours,0.92,1.05,1.35,1.75,0.92,0.81,1.82
1075,CNN_model,120 hours,0.87,1.99,2.85,1.77,0.56,0.03,8.15
563,LSTM_model,3 hours,0.0,0.66,0.66,2.0,,-inf,0.43
563,LSTM_model,6 hours,0.19,0.48,0.51,1.1,1.0,-102.6,0.26
563,LSTM_model,12 hours,0.93,0.67,0.78,1.82,0.98,0.95,0.6
563,LSTM_model,24 hours,0.86,1.72,2.06,1.8,0.92,0.63,4.26
563,LSTM_model,36 hours,0.84,1.95,2.22,1.8,0.94,0.58,4.92
563,LSTM_model,72 hours,0.81,2.65,2.92,1.79,0.91,0.2,8.53
563,LSTM_model,120 hours,0.82,2.57,2.8,1.78,0.91,0.23,7.82
651,LSTM_model,3 hours,0.0,0.15,0.15,2.0,,-inf,0.02
651,LSTM_model,6 hours,0.37,0.56,0.69,1.25,1.0,-47.0,0.48
651,LSTM_model,12 hours,0.94,0.45,0.55,1.77,0.98,0.96,0.3
651,LSTM_model,24 hours,0.88,1.04,1.3,1.75,0.91,0.76,1.68
651,LSTM_model,36 hours,0.88,1.36,1.75,1.76,0.91,0.69,3.06
651,LSTM_model,72 hours,0.89,1.66,2.41,1.76,0.79,0.54,5.79
651,LSTM_model,120 hours,0.9,1.5,2.13,1.76,0.73,0.52,4.54
175,LSTM_model,3 hours,0.0,7.61,7.61,2.0,,-inf,57.91
175,LSTM_model,6 hours,0.05,5.75,6.04,1.67,-1.0,-1622.89,36.54
175,LSTM_model,12 hours,0.11,3.67,4.43,1.76,-0.49,-1161.62,19.62
175,LSTM_model,24 hours,0.71,3.21,3.87,1.78,0.58,-2.77,14.95
175,LSTM_model,36 hours,0.78,2.62,3.27,1.77,0.38,-0.71,10.68
175,LSTM_model,72 hours,0.86,1.86,2.48,1.78,0.55,0.06,6.17
175,LSTM_model,120 hours,0.85,1.97,2.45,1.78,0.58,0.16,6.02
1148,LSTM_model,3 hours,0.0,0.87,0.87,2.0,,-inf,0.76
1148,LSTM_model,6 hours,0.74,2.83,3.44,1.26,1.0,0.03,11.87
1148,LSTM_model,12 hours,0.72,5.79,6.65,1.6,0.99,-0.58,44.18
1148,LSTM_model,24 hours,0.83,3.38,4.75,1.61,0.95,0.24,22.59
1148,LSTM_model,36 hours,0.81,4.03,5.3,1.65,0.97,0.16,28.13
1148,LSTM_model,72 hours,0.83,3.58,4.65,1.65,0.93,0.21,21.66
1148,LSTM_model,120 hours,0.82,3.65,4.37,1.67,0.79,-0.06,19.06
355,LSTM_model,3 hours,0.0,0.37,0.37,2.0,,-inf,0.13
355,LSTM_model,6 hours,0.38,0.5,0.52,0.61,1.0,-11.05,0.27
