Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
351,CNN_model,36 hours,0.8,2.84,3.11,1.72,0.6,0.33,9.66
351,CNN_model,72 hours,0.86,1.99,2.46,1.74,0.67,0.44,6.05
351,CNN_model,120 hours,0.89,1.51,2.03,1.73,0.74,0.53,4.12
783,LSTM_model,3 hours,0.0,2.31,2.31,2.0,,-inf,5.34
783,LSTM_model,6 hours,0.84,1.25,1.64,1.69,1.0,0.68,2.69
783,LSTM_model,12 hours,0.93,0.77,1.18,1.79,0.99,0.89,1.39
783,LSTM_model,24 hours,0.9,1.17,1.53,1.8,0.98,0.83,2.33
783,LSTM_model,36 hours,0.88,1.44,1.86,1.79,0.98,0.74,3.46
783,LSTM_model,72 hours,0.86,1.79,2.22,1.78,0.97,0.65,4.94
783,LSTM_model,120 hours,0.87,1.65,2.02,1.78,0.92,0.67,4.07
1046,LSTM_model,3 hours,0.0,0.29,0.29,2.0,,-inf,0.09
1046,LSTM_model,6 hours,0.0,0.4,0.41,0.89,,-inf,0.17
1046,LSTM_model,12 hours,0.89,0.44,0.45,1.67,0.99,0.91,0.2
1046,LSTM_model,24 hours,0.9,0.49,0.54,1.7,0.96,0.9,0.29
1046,LSTM_model,36 hours,0.93,0.47,0.53,1.73,0.97,0.93,0.29
1046,LSTM_model,72 hours,0.86,1.23,1.71,1.73,0.79,0.37,2.92
1046,LSTM_model,120 hours,0.86,1.74,2.31,1.75,0.77,0.18,5.33
590,LSTM_model,3 hours,0.0,1.99,1.99,2.0,,-inf,3.95
590,LSTM_model,6 hours,0.71,2.83,2.96,1.21,1.0,0.27,8.75
590,LSTM_model,12 hours,0.83,2.02,2.27,1.78,0.83,0.6,5.17
590,LSTM_model,24 hours,0.89,1.27,1.67,1.79,0.85,0.71,2.77
590,LSTM_model,36 hours,0.89,1.29,1.57,1.79,0.87,0.75,2.45
590,LSTM_model,72 hours,0.9,1.28,1.53,1.79,0.87,0.75,2.35
590,LSTM_model,120 hours,0.91,1.16,1.48,1.79,0.87,0.75,2.18
380,LSTM_model,3 hours,0.0,0.74,0.74,2.0,,-inf,0.55
380,LSTM_model,6 hours,0.81,1.41,1.56,1.6,1.0,0.69,2.45
380,LSTM_model,12 hours,0.83,1.26,1.48,1.64,0.9,0.61,2.2
380,LSTM_model,24 hours,0.89,0.92,1.15,1.75,0.96,0.83,1.33
380,LSTM_model,36 hours,0.89,0.9,1.09,1.74,0.9,0.8,1.19
380,LSTM_model,72 hours,0.85,1.67,2.12,1.76,0.79,0.38,4.51
380,LSTM_model,120 hours,0.86,2.06,2.62,1.76,0.79,0.27,6.88
775,LSTM_model,3 hours,0.0,0.82,0.82,2.0,,-inf,0.67
775,LSTM_model,6 hours,0.87,0.71,0.71,1.68,1.0,0.92,0.51
775,LSTM_model,12 hours,0.93,0.6,0.63,1.79,0.99,0.96,0.39
775,LSTM_model,24 hours,0.92,0.72,0.83,1.8,0.98,0.94,0.69
775,LSTM_model,36 hours,0.92,0.87,1.19,1.79,0.96,0.88,1.41
775,LSTM_model,72 hours,0.89,1.38,1.83,1.78,0.93,0.74,3.34
775,LSTM_model,120 hours,0.87,1.66,2.08,1.78,0.94,0.66,4.33
415,LSTM_model,3 hours,0.0,3.88,3.88,2.0,,-inf,15.08
415,LSTM_model,6 hours,0.46,3.78,3.78,1.67,1.0,-4.59,14.32
415,LSTM_model,12 hours,0.62,2.79,2.96,1.78,0.97,-2.04,8.79
415,LSTM_model,24 hours,0.83,2.01,2.31,1.78,0.82,0.47,5.33
415,LSTM_model,36 hours,0.84,2.15,2.48,1.77,0.81,0.54,6.13
415,LSTM_model,72 hours,0.91,1.28,1.78,1.78,0.86,0.69,3.19
415,LSTM_model,120 hours,0.91,1.25,1.7,1.78,0.82,0.6,2.88
1402,LSTM_model,3 hours,0.0,1.26,1.26,2.0,,-inf,1.59
1402,LSTM_model,6 hours,0.12,1.58,1.61,0.93,1.0,-259.34,2.6
1402,LSTM_model,12 hours,0.65,2.35,2.6,1.3,0.88,-1.33,6.76
1402,LSTM_model,24 hours,0.69,3.04,3.24,1.65,0.91,-0.88,10.48
1402,LSTM_model,36 hours,0.66,3.53,3.75,1.66,0.77,-2.73,14.03
1402,LSTM_model,72 hours,0.79,2.51,2.96,1.67,0.63,-1.08,8.75
1402,LSTM_model,120 hours,0.85,2.42,2.86,1.67,0.76,0.26,8.19
1395,LSTM_model,3 hours,0.0,1.15,1.15,2.0,,-inf,1.33
1395,LSTM_model,6 hours,0.65,1.17,1.17,0.77,-1.0,-0.13,1.37
1395,LSTM_model,12 hours,0.72,1.62,1.68,1.72,0.77,-0.35,2.81
1395,LSTM_model,24 hours,0.8,1.41,1.6,1.7,0.8,0.09,2.55
1395,LSTM_model,36 hours,0.87,1.22,1.44,1.72,0.8,0.6,2.08
1395,LSTM_model,72 hours,0.84,1.54,1.88,1.72,0.56,0.09,3.54
1395,LSTM_model,120 hours,0.88,1.78,2.29,1.72,0.65,0.28,5.26
1271,LSTM_model,3 hours,0.0,0.87,0.87,2.0,,-inf,0.75
1271,LSTM_model,6 hours,0.61,0.58,0.65,1.27,1.0,-1.63,0.42
1271,LSTM_model,12 hours,0.76,1.1,1.23,1.44,0.95,0.18,1.52
1271,LSTM_model,24 hours,0.85,1.11,1.23,1.6,0.99,0.62,1.51
1271,LSTM_model,36 hours,0.85,1.47,1.69,1.62,0.94,0.39,2.86
1271,LSTM_model,72 hours,0.88,1.5,1.81,1.72,0.85,0.46,3.27
1271,LSTM_model,120 hours,0.89,1.65,2.04,1.75,0.7,0.44,4.18
351,LSTM_model,3 hours,0.0,1.58,1.58,2.0,,-inf,2.51
351,LSTM_model,6 hours,0.67,1.72,1.72,1.7,1.0,0.03,2.97
351,LSTM_model,12 hours,0.8,1.84,1.85,1.8,1.0,0.54,3.43
351,LSTM_model,24 hours,0.83,1.9,2.1,1.79,0.97,0.6,4.39
351,LSTM_model,36 hours,0.85,2.05,2.38,1.79,0.8,0.61,5.66
351,LSTM_model,72 hours,0.89,1.48,1.9,1.79,0.82,0.67,3.6
351,LSTM_model,120 hours,0.89,1.5,1.84,1.79,0.83,0.62,3.39
783,CNN_LSTM_model,3 hours,0.0,2.84,2.84,2.0,,-inf,8.05
783,CNN_LSTM_model,6 hours,0.8,1.64,2.03,1.67,1.0,0.51,4.12
783,CNN_LSTM_model,12 hours,0.87,1.45,1.69,1.7,0.99,0.78,2.86
783,CNN_LSTM_model,24 hours,0.87,1.46,1.63,1.74,0.98,0.8,2.66
783,CNN_LSTM_model,36 hours,0.89,1.36,1.61,1.74,0.98,0.81,2.59
783,CNN_LSTM_model,72 hours,0.91,1.13,1.4,1.79,0.96,0.86,1.95
783,CNN_LSTM_model,120 hours,0.87,1.8,2.35,1.8,0.82,0.55,5.52
1046,CNN_LSTM_model,3 hours,0.0,4.46,4.46,2.0,,-inf,19.85
1046,CNN_LSTM_model,6 hours,0.0,3.98,4.01,1.03,,-inf,16.06
1046,CNN_LSTM_model,12 hours,0.54,3.12,3.28,1.77,0.99,-3.72,10.78
1046,CNN_LSTM_model,24 hours,0.72,1.95,2.41,1.81,0.98,-1.04,5.81
1046,CNN_LSTM_model,36 hours,0.74,2.23,2.56,1.81,0.97,-0.58,6.55
1046,CNN_LSTM_model,72 hours,0.7,3.28,3.76,1.81,0.79,-2.04,14.17
1046,CNN_LSTM_model,120 hours,0.71,4.09,4.6,1.78,0.67,-2.26,21.14
590,CNN_LSTM_model,3 hours,0.0,1.35,1.35,2.0,,-inf,1.82
590,CNN_LSTM_model,6 hours,0.73,2.71,3.03,1.31,1.0,0.23,9.21
590,CNN_LSTM_model,12 hours,0.8,2.41,2.63,1.76,0.86,0.47,6.9
590,CNN_LSTM_model,24 hours,0.81,2.37,2.51,1.74,0.9,0.34,6.3
590,CNN_LSTM_model,36 hours,0.84,1.93,2.17,1.74,0.92,0.52,4.72
590,CNN_LSTM_model,72 hours,0.8,3.06,3.5,1.75,0.78,-0.29,12.23
590,CNN_LSTM_model,120 hours,0.77,3.52,3.97,1.77,0.74,-0.8,15.77
380,CNN_LSTM_model,3 hours,0.0,2.25,2.25,2.0,,-inf,5.07
380,CNN_LSTM_model,6 hours,0.72,2.15,2.15,1.24,1.0,0.41,4.64
380,CNN_LSTM_model,12 hours,0.79,1.51,1.65,1.6,0.74,0.52,2.71
380,CNN_LSTM_model,24 hours,0.77,2.13,2.35,1.6,0.78,0.29,5.53
380,CNN_LSTM_model,36 hours,0.78,1.94,2.17,1.56,0.8,0.22,4.72
380,CNN_LSTM_model,72 hours,0.85,1.68,1.9,1.63,0.81,0.5,3.63
380,CNN_LSTM_model,120 hours,0.86,1.92,2.28,1.71,0.75,0.45,5.22
775,CNN_LSTM_model,3 hours,0.0,3.12,3.12,2.0,,-inf,9.73
775,CNN_LSTM_model,6 hours,0.8,1.57,2.21,1.41,1.0,0.19,4.86
775,CNN_LSTM_model,12 hours,0.83,1.87,2.21,1.57,0.92,0.55,4.87
775,CNN_LSTM_model,24 hours,0.86,1.47,1.75,1.7,0.93,0.72,3.06
775,CNN_LSTM_model,36 hours,0.87,1.46,1.74,1.7,0.95,0.74,3.04
775,CNN_LSTM_model,72 hours,0.89,1.3,1.58,1.76,0.94,0.81,2.5
775,CNN_LSTM_model,120 hours,0.89,1.31,1.57,1.78,0.93,0.81,2.48
415,CNN_LSTM_model,3 hours,0.0,5.16,5.16,2.0,,-inf,26.6
415,CNN_LSTM_model,6 hours,0.39,4.91,4.92,1.69,1.0,-8.45,24.18
415,CNN_LSTM_model,12 hours,0.51,4.24,4.3,1.76,0.99,-5.4,18.47
415,CNN_LSTM_model,24 hours,0.75,3.28,3.49,1.79,0.93,-0.22,12.18
415,CNN_LSTM_model,36 hours,0.76,3.5,3.77,1.78,0.86,-0.06,14.24
415,CNN_LSTM_model,72 hours,0.76,3.62,3.81,1.77,0.89,-0.4,14.5
415,CNN_LSTM_model,120 hours,0.74,4.15,4.41,1.77,0.78,-1.72,19.47
1402,CNN_LSTM_model,3 hours,0.0,5.38,5.38,2.0,,-inf,28.9
1402,CNN_LSTM_model,6 hours,0.04,4.55,4.63,1.43,1.0,-2140.11,21.41
1402,CNN_LSTM_model,12 hours,0.59,3.43,3.94,1.32,-0.43,-4.34,15.53
1402,CNN_LSTM_model,24 hours,0.74,2.58,3.12,1.55,0.64,-0.74,9.71
1402,CNN_LSTM_model,36 hours,0.79,2.06,2.67,1.61,0.5,-0.89,7.11
1402,CNN_LSTM_model,72 hours,0.74,3.43,3.95,1.65,0.42,-2.72,15.64
1402,CNN_LSTM_model,120 hours,0.74,5.03,5.89,1.72,0.42,-2.11,34.68
1395,CNN_LSTM_model,3 hours,0.0,2.97,2.97,2.0,,-inf,8.82
1395,CNN_LSTM_model,6 hours,0.33,5.07,5.49,1.47,-1.0,-23.93,30.17
1395,CNN_LSTM_model,12 hours,0.42,5.93,6.2,1.69,0.43,-17.37,38.39
1395,CNN_LSTM_model,24 hours,0.51,5.4,5.61,1.66,0.59,-10.26,31.45
1395,CNN_LSTM_model,36 hours,0.65,4.59,5.02,1.64,0.48,-3.89,25.25
1395,CNN_LSTM_model,72 hours,0.65,4.46,4.91,1.65,0.35,-5.18,24.1
1395,CNN_LSTM_model,120 hours,0.7,5.68,6.21,1.7,0.44,-4.27,38.52
1271,CNN_LSTM_model,3 hours,0.0,1.47,1.47,2.0,,-inf,2.16
1271,CNN_LSTM_model,6 hours,0.48,0.99,1.1,1.6,1.0,-6.54,1.21
1271,CNN_LSTM_model,12 hours,0.67,1.74,1.93,1.49,0.5,-1.0,3.74
1271,CNN_LSTM_model,24 hours,0.79,1.68,1.82,1.65,0.88,0.16,3.33
1271,CNN_LSTM_model,36 hours,0.81,2.04,2.27,1.66,0.86,-0.09,5.14
1271,CNN_LSTM_model,72 hours,0.82,2.37,2.8,1.78,0.82,-0.3,7.86
1271,CNN_LSTM_model,120 hours,0.87,2.06,2.79,1.79,0.71,-0.04,7.79
351,CNN_LSTM_model,3 hours,0.0,4.13,4.13,2.0,,-inf,17.02
351,CNN_LSTM_model,6 hours,0.52,3.37,3.45,1.47,1.0,-2.9,11.93
351,CNN_LSTM_model,12 hours,0.79,2.13,2.52,1.48,0.93,0.14,6.37
351,CNN_LSTM_model,24 hours,0.8,2.31,2.56,1.56,0.92,0.4,6.57
351,CNN_LSTM_model,36 hours,0.79,3.02,3.34,1.57,0.56,0.23,11.13
351,CNN_LSTM_model,72 hours,0.79,3.07,3.35,1.67,0.54,-0.03,11.21
351,CNN_LSTM_model,120 hours,0.8,2.89,3.16,1.66,0.63,-0.13,10.01
783,CNN_A_model,3 hours,0.0,2.63,2.63,2.0,,-inf,6.93
783,CNN_A_model,6 hours,0.77,1.83,2.0,1.73,1.0,0.53,3.99
783,CNN_A_model,12 hours,0.9,1.11,1.45,1.78,0.99,0.84,2.1
783,CNN_A_model,24 hours,0.88,1.45,1.86,1.78,0.98,0.74,3.46
783,CNN_A_model,36 hours,0.89,1.39,1.89,1.77,0.98,0.74,3.57
783,CNN_A_model,72 hours,0.9,1.32,1.77,1.79,0.97,0.78,3.12
783,CNN_A_model,120 hours,0.89,1.44,1.88,1.79,0.85,0.71,3.54
1046,CNN_A_model,3 hours,0.0,0.78,0.78,2.0,,-inf,0.61
1046,CNN_A_model,6 hours,0.0,0.8,0.8,1.61,,-inf,0.63
1046,CNN_A_model,12 hours,0.85,0.62,0.66,1.68,0.98,0.81,0.44
1046,CNN_A_model,24 hours,0.86,0.73,0.88,1.76,0.97,0.73,0.77
1046,CNN_A_model,36 hours,0.87,0.91,1.05,1.78,0.94,0.74,1.1
1046,CNN_A_model,72 hours,0.8,1.93,2.42,1.78,0.73,-0.26,5.86
1046,CNN_A_model,120 hours,0.81,2.35,2.91,1.76,0.7,-0.3,8.44
590,CNN_A_model,3 hours,0.0,2.93,2.93,2.0,,-inf,8.6
590,CNN_A_model,6 hours,0.67,3.38,3.41,0.72,1.0,0.02,11.61
590,CNN_A_model,12 hours,0.82,2.2,2.61,1.78,0.72,0.48,6.83
590,CNN_A_model,24 hours,0.89,1.35,1.91,1.78,0.81,0.62,3.66
590,CNN_A_model,36 hours,0.91,1.1,1.64,1.77,0.86,0.73,2.68
590,CNN_A_model,72 hours,0.88,1.77,2.32,1.78,0.77,0.43,5.4
590,CNN_A_model,120 hours,0.86,2.0,2.53,1.79,0.78,0.27,6.39
380,CNN_A_model,3 hours,0.0,0.34,0.34,2.0,,-inf,0.12
380,CNN_A_model,6 hours,0.77,2.02,2.62,1.52,1.0,0.12,6.89
380,CNN_A_model,12 hours,0.75,2.01,2.34,1.64,0.9,0.04,5.46
380,CNN_A_model,24 hours,0.84,1.39,1.75,1.68,0.86,0.61,3.06
380,CNN_A_model,36 hours,0.87,1.08,1.47,1.65,0.86,0.65,2.15
380,CNN_A_model,72 hours,0.9,1.06,1.32,1.73,0.9,0.76,1.74
380,CNN_A_model,120 hours,0.9,1.38,1.73,1.76,0.83,0.68,2.99
775,CNN_A_model,3 hours,0.0,4.22,4.22,2.0,,-inf,17.79
775,CNN_A_model,6 hours,0.73,2.32,3.0,1.14,1.0,-0.5,8.99
775,CNN_A_model,12 hours,0.85,1.66,2.24,1.57,0.94,0.53,5.03
775,CNN_A_model,24 hours,0.88,1.31,1.81,1.72,0.9,0.7,3.29
775,CNN_A_model,36 hours,0.89,1.32,1.75,1.75,0.93,0.74,3.05
775,CNN_A_model,72 hours,0.89,1.36,1.86,1.77,0.94,0.73,3.47
775,CNN_A_model,120 hours,0.9,1.29,1.74,1.78,0.95,0.76,3.04
415,CNN_A_model,3 hours,0.0,4.41,4.41,2.0,,-inf,19.45
415,CNN_A_model,6 hours,0.41,4.57,4.58,1.62,1.0,-7.18,20.95
415,CNN_A_model,12 hours,0.54,3.81,3.92,1.75,0.93,-4.31,15.34
415,CNN_A_model,24 hours,0.8,2.48,2.92,1.8,0.87,0.15,8.53
415,CNN_A_model,36 hours,0.8,2.78,3.22,1.79,0.85,0.23,10.36
415,CNN_A_model,72 hours,0.81,2.74,3.02,1.78,0.89,0.12,9.09
415,CNN_A_model,120 hours,0.81,2.79,3.18,1.78,0.81,-0.41,10.11
1402,CNN_A_model,3 hours,0.0,0.51,0.51,2.0,,-inf,0.26
1402,CNN_A_model,6 hours,0.5,0.29,0.36,0.3,-1.0,-12.09,0.13
1402,CNN_A_model,12 hours,0.8,1.26,1.82,1.1,0.8,-0.14,3.33
1402,CNN_A_model,24 hours,0.82,1.63,2.23,1.68,0.77,0.11,4.96
1402,CNN_A_model,36 hours,0.79,1.98,2.52,1.68,0.65,-0.7,6.37
1402,CNN_A_model,72 hours,0.86,1.55,2.05,1.7,0.58,0.01,4.19
1402,CNN_A_model,120 hours,0.89,1.81,2.33,1.72,0.72,0.51,5.43
1395,CNN_A_model,3 hours,0.0,0.31,0.31,2.0,,-inf,0.1
1395,CNN_A_model,6 hours,0.83,0.46,0.49,1.22,1.0,0.8,0.24
1395,CNN_A_model,12 hours,0.78,1.31,1.69,1.7,0.75,-0.37,2.86
1395,CNN_A_model,24 hours,0.85,1.04,1.36,1.65,0.75,0.34,1.84
1395,CNN_A_model,36 hours,0.87,1.33,1.89,1.63,0.56,0.31,3.58
1395,CNN_A_model,72 hours,0.86,1.45,1.88,1.67,0.51,0.1,3.52
1395,CNN_A_model,120 hours,0.9,1.48,1.88,1.7,0.72,0.52,3.52
1271,CNN_A_model,3 hours,0.0,2.28,2.28,2.0,,-inf,5.19
1271,CNN_A_model,6 hours,0.31,1.83,1.88,1.74,1.0,-21.13,3.54
1271,CNN_A_model,12 hours,0.77,1.15,1.39,1.73,0.78,-0.04,1.93
1271,CNN_A_model,24 hours,0.82,1.39,1.61,1.68,0.69,0.34,2.6
1271,CNN_A_model,36 hours,0.87,1.3,1.52,1.7,0.8,0.51,2.32
1271,CNN_A_model,72 hours,0.87,1.56,1.79,1.76,0.74,0.47,3.21
1271,CNN_A_model,120 hours,0.84,2.51,3.0,1.77,0.45,-0.2,9.02
351,CNN_A_model,3 hours,0.0,5.11,5.11,2.0,,-inf,26.14
351,CNN_A_model,6 hours,0.45,4.35,4.41,1.46,1.0,-5.36,19.48
351,CNN_A_model,12 hours,0.73,2.96,3.4,1.55,0.93,-0.56,11.54
351,CNN_A_model,24 hours,0.78,2.76,3.28,1.58,0.87,0.02,10.75
351,CNN_A_model,36 hours,0.81,2.82,3.28,1.64,0.55,0.26,10.75
351,CNN_A_model,72 hours,0.85,2.17,2.69,1.74,0.59,0.33,7.25
351,CNN_A_model,120 hours,0.87,1.8,2.28,1.73,0.67,0.41,5.19
783,LSTM_A_model,3 hours,0.0,3.03,3.03,2.0,,-inf,9.15
783,LSTM_A_model,6 hours,0.76,1.97,2.23,1.44,1.0,0.41,4.99
783,LSTM_A_model,12 hours,0.89,1.23,1.62,1.77,0.93,0.79,2.62
783,LSTM_A_model,24 hours,0.89,1.3,1.62,1.77,0.95,0.81,2.62
783,LSTM_A_model,36 hours,0.89,1.31,1.72,1.77,0.94,0.78,2.97
783,LSTM_A_model,72 hours,0.9,1.31,1.76,1.77,0.94,0.78,3.09
783,LSTM_A_model,120 hours,0.9,1.37,1.82,1.77,0.87,0.73,3.3
1046,LSTM_A_model,3 hours,0.0,0.75,0.75,2.0,,-inf,0.56
1046,LSTM_A_model,6 hours,0.0,0.74,0.74,1.69,,-inf,0.54
1046,LSTM_A_model,12 hours,0.81,0.87,0.94,1.63,0.97,0.61,0.88
1046,LSTM_A_model,24 hours,0.85,0.81,0.98,1.71,0.96,0.66,0.96
1046,LSTM_A_model,36 hours,0.86,0.99,1.22,1.72,0.94,0.64,1.49
1046,LSTM_A_model,72 hours,0.8,1.95,2.36,1.72,0.8,-0.19,5.56
1046,LSTM_A_model,120 hours,0.81,2.43,2.94,1.72,0.76,-0.33,8.64
590,LSTM_A_model,3 hours,0.0,2.53,2.53,2.0,,-inf,6.42
590,LSTM_A_model,6 hours,0.67,3.47,3.59,1.64,-1.0,-0.08,12.88
590,LSTM_A_model,12 hours,0.77,2.88,3.1,1.75,0.68,0.26,9.58
590,LSTM_A_model,24 hours,0.86,1.72,2.24,1.81,0.75,0.47,5.01
590,LSTM_A_model,36 hours,0.89,1.37,1.88,1.8,0.83,0.64,3.54
590,LSTM_A_model,72 hours,0.87,1.79,2.32,1.81,0.78,0.44,5.36
590,LSTM_A_model,120 hours,0.87,1.9,2.52,1.81,0.76,0.28,6.34
380,LSTM_A_model,3 hours,0.0,0.71,0.71,2.0,,-inf,0.51
380,LSTM_A_model,6 hours,0.79,1.56,1.77,1.56,1.0,0.6,3.13
380,LSTM_A_model,12 hours,0.84,1.15,1.37,1.66,0.91,0.67,1.89
380,LSTM_A_model,24 hours,0.9,0.76,1.01,1.75,0.95,0.87,1.02
380,LSTM_A_model,36 hours,0.87,1.05,1.29,1.74,0.86,0.72,1.67
