Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
2865,CNN_model,12 hours,0.53,8.59,9.18,1.94,0.89,-6.97,84.32
2865,CNN_model,24 hours,0.54,20.02,23.87,1.96,-0.4,-15.47,569.93
2865,CNN_model,36 hours,0.46,28.22,32.33,1.98,-0.2,-42.49,1045.26
2865,CNN_model,72 hours,0.61,57.16,67.82,1.98,-0.57,-11.61,4599.3
2865,CNN_model,120 hours,0.68,129.49,162.19,1.99,-0.75,-3.67,26306.8
6786,LSTM_model,3 hours,0.35,5.62,5.65,1.81,0.95,-14.96,31.92
6786,LSTM_model,6 hours,0.74,7.09,7.38,1.94,0.99,-0.02,54.51
6786,LSTM_model,12 hours,0.8,14.78,17.2,1.97,0.99,0.19,295.74
6786,LSTM_model,24 hours,0.76,25.75,28.73,1.98,0.89,-0.32,825.49
6786,LSTM_model,36 hours,0.71,34.37,38.07,1.98,0.69,-1.95,1449.55
6786,LSTM_model,72 hours,0.68,43.73,49.5,1.98,0.38,-3.93,2450.28
6786,LSTM_model,120 hours,0.77,46.06,52.62,1.98,0.22,-1.52,2769.35
3772,LSTM_model,3 hours,0.31,1.18,1.24,1.45,0.77,-26.86,1.55
3772,LSTM_model,6 hours,0.61,2.46,3.1,1.91,0.99,-7.02,9.63
3772,LSTM_model,12 hours,0.72,6.5,7.92,1.96,0.99,-1.99,62.8
3772,LSTM_model,24 hours,0.72,15.38,18.2,1.98,0.73,-2.84,331.36
3772,LSTM_model,36 hours,0.66,24.58,29.38,1.97,0.3,-3.22,863.26
3772,LSTM_model,72 hours,0.53,42.92,48.17,1.98,0.13,-13.21,2320.58
3772,LSTM_model,120 hours,0.57,64.31,73.18,1.99,-0.44,-20.45,5355.41
986,LSTM_model,3 hours,0.23,5.67,7.03,1.91,-0.68,-221.39,49.42
986,LSTM_model,6 hours,0.71,4.35,5.51,1.92,0.61,-1.73,30.38
986,LSTM_model,12 hours,0.9,3.97,4.85,1.97,0.96,0.83,23.5
986,LSTM_model,24 hours,0.94,4.64,5.63,1.98,0.99,0.94,31.74
986,LSTM_model,36 hours,0.93,5.05,5.86,1.98,0.98,0.93,34.32
986,LSTM_model,72 hours,0.89,9.59,12.75,1.98,0.89,0.68,162.44
986,LSTM_model,120 hours,0.82,18.77,24.08,1.98,0.7,-0.21,579.86
2527,LSTM_model,3 hours,0.29,2.48,2.48,1.41,0.99,-26.72,6.16
2527,LSTM_model,6 hours,0.78,1.59,1.88,1.88,0.99,-0.12,3.52
2527,LSTM_model,12 hours,0.93,1.7,1.93,1.95,0.99,0.92,3.74
2527,LSTM_model,24 hours,0.96,1.43,1.66,1.97,1.0,0.98,2.75
2527,LSTM_model,36 hours,0.94,2.27,2.7,1.97,0.98,0.94,7.32
2527,LSTM_model,72 hours,0.81,11.84,17.33,1.98,0.56,-2.17,300.38
2527,LSTM_model,120 hours,0.8,19.07,27.17,1.98,0.24,-2.63,737.98
3801,LSTM_model,3 hours,0.0,7.77,7.93,1.79,,-inf,62.87
3801,LSTM_model,6 hours,0.23,10.6,11.1,1.92,0.96,-91.35,123.14
3801,LSTM_model,12 hours,0.51,15.33,16.26,1.97,0.98,-8.88,264.41
3801,LSTM_model,24 hours,0.58,14.58,15.35,1.97,0.97,-4.57,235.63
3801,LSTM_model,36 hours,0.62,16.96,17.88,1.97,0.97,-4.83,319.62
3801,LSTM_model,72 hours,0.55,27.95,31.98,1.98,0.52,-15.89,1022.55
